,pid,pname,ppm,rpm,apm,MP,dist
99,159,Carlos Delfino,12.792746114,5.64248704663,2.75751295337,11580,34.5195464191
168,274,Gerald Henderson,15.70603493,4.49455300017,2.69548677157,11566,21.4667524812
56,81,Ronnie Brewer,12.2922263628,4.4520322385,2.58323944883,11539,35.5570072763
264,451,Anthony Morrow,15.6935312831,3.72852598091,1.46659597031,11316,32.0183388436
97,150,Glen Davis,13.6213529682,7.40874367234,1.51421997239,10865,45.2796462263
283,496,Chandler Parsons,15.3447513812,5.44309392265,3.22872928177,10860,21.7227264968
382,659,Damien Wilkins,11.8605037365,4.47052311099,2.61389427069,10839,37.2928919914
202,339,James Jones,11.9784722878,4.16731186857,1.19308847134,10591,45.2032624916
78,116,Josh Childress,12.2438650307,6.38420245399,2.10161042945,10432,42.1103624486
251,425,Jodie Meeks,14.5913266818,3.2077447397,1.62520991801,10123,34.2433133067
200,335,Wesley Johnson,11.9832067173,4.87604958017,1.8712514994,10004,41.0496195353
92,140,Dante Cunningham,10.3900040967,6.7361736993,1.19459238017,9764,55.0078892424
201,337,Dahntay Jones,12.3053873781,3.97126731657,1.9431503335,9745,39.0220185658
153,243,Gerald Green,17.8854209446,4.45379876797,1.8,9740,25.0540495306
74,110,Omri Casspi,13.8958572472,6.84462068246,1.95345925076,9583,39.2594689002
65,95,Jimmy Butler,15.552581262,5.13193116635,2.75717017208,9414,22.6951675627
150,239,Danny Green,13.5583405359,4.9900605013,2.30639585134,9256,32.4793421221
315,549,Brandon Rush,11.6469430165,4.9217980969,1.59072514492,9143,44.1277021005
284,498,Patrick Patterson,12.2166208035,7.2,1.85052283985,9085,46.6198671829
209,352,Jason Kapono,13.490074989,3.35068372298,1.65549183944,9068,37.2124732938
53,78,Avery Bradley,15.0185289163,3.40797304885,2.13857383492,8905,28.5681270499
286,500,Sasha Pavlovic,11.2884788479,4.0504050405,2.09405940594,8888,42.2488315376
357,617,Anthony Tolliver,11.050619715,6.47191011236,1.60129734739,8633,49.4939104041
138,220,Alonzo Gee,11.1800449226,5.37084761792,1.7533987469,8459,45.5668903856
115,183,Wayne Ellington,13.0387243736,3.88442632778,1.96379331015,8341,36.125121079
212,360,Linas Kleiza,15.662309102,6.46548564447,1.41185094685,8185,37.14542109
368,636,Sasha Vujacic,12.5540975489,4.29165635058,2.92795246348,8078,32.8209641707
331,575,Jason Smith,13.1543657743,7.21891418564,1.6167125344,7994,45.1092070007
337,586,Lance Stephenson,12.0076530612,6.05204081633,4.35765306122,7840,36.1200879828
61,90,Chase Budinger,14.543943918,5.56614306115,2.11242373101,7703,31.5913363881
250,424,Josh McRoberts,10.1272038657,7.40498889905,3.81298158548,7657,49.3735886167
27,43,Harrison Barnes,12.9705535925,5.94110718492,1.85159010601,7641,39.6024594935
19,32,Darrell Arthur,13.0844514601,7.2501973165,1.51539068666,7602,46.0729058517
71,107,DeMarre Carroll,12.7467300832,6.10701545779,1.8644470868,7569,40.7844736814
384,661,Derrick Williams,15.4832027619,7.00305404329,1.12813703359,7531,41.9566443465
263,450,Marcus Morris,14.6146788991,6.14894765246,2.01079330815,7412,33.9857988129
59,88,Shannon Brown,15.3155955792,3.73311502251,2.24969300041,7329,26.3077374755
252,431,Khris Middleton,15.6855363322,4.51432525952,2.92484429066,7225,19.9340944309
198,328,James Johnson,12.9657947686,6.30698476574,2.91290600747,6958,35.3708205523
324,562,Iman Shumpert,10.615118292,4.95441431044,2.84593190998,6932,42.3446336465
327,568,Kyle Singler,11.004048583,4.70561017929,1.28571428571,6916,48.3288080107
313,545,Terrence Ross,14.0741190765,4.00789793439,1.37788578372,6584,36.9174185743
9,17,Alan Anderson,12.9858573018,3.79278563483,1.97934212617,6293,36.2795036768
13,23,Giannis Antetokounmpo,13.7140093503,7.18491052716,2.89021441238,6203,36.7977770121
91,139,Jae Crowder,12.8490284006,5.71599402093,2.09267563528,6021,37.9494585637
70,104,Kentavious Caldwell-Pope,13.4319428287,3.58982881835,1.5256772478,6017,38.0701435278
125,202,Landry Fields,10.368718802,6.54109816972,2.50981697171,6010,48.109152114
117,185,Melvin Ely,11.9420482931,7.28393005828,1.56469608659,6005,49.4466846892
86,129,Daequan Cook,12.6988152845,4.22292674787,1.45970298682,5993,40.756663318
249,421,Ben McLemore,12.8091032609,3.5339673913,1.71807065217,5888,38.9083534001
179,289,Ryan Hollins,11.2855927879,6.65011056302,0.906276577649,5879,53.4583560792
85,128,Brian Cook,14.7339352098,7.10568242167,1.60594795539,5649,40.4735904189
273,473,Steve Novak,13.8471405665,3.75841795831,0.846606092998,5613,42.137218263
160,256,Maurice Harkless,10.8334243583,5.69524849809,1.30420535227,5493,50.1536944819
389,668,Shawne Williams,11.8636363636,6.33755588674,1.47540983607,5368,46.9337556313
39,59,Patrick Beverley,11.8255033557,4.51006711409,3.89932885906,5364,33.9313511527
306,537,Austin Rivers,12.2460959548,3.21053621825,3.40018814675,5315,33.6061052045
126,204,Evan Fournier,15.6084878608,3.70942458421,2.84916841904,5231,20.9354382477
295,515,Quincy Pondexter,10.4672748909,4.04839349464,1.64220547402,5042,48.1155334546
351,611,Hollis Thompson,11.3498262114,4.51932120221,1.56041709262,4891,45.1537333486
261,446,E'Twaun Moore,12.0402600126,3.45732858042,3.28370727616,4769,34.4529427173
107,169,Chris Douglas-Roberts,12.9093814198,3.87856653732,2.08719470441,4381,35.825392978
346,603,Garrett Temple,9.91183937226,3.82183244865,3.2070159243,4333,44.2494268783
151,240,Donte Greene,13.0255928622,5.07161305471,1.54684198169,4259,39.6139811243
98,154,Austin Daye,13.2604065828,6.65634075508,1.84704743466,4132,41.0739929468
394,681,Sam Young,13.034795764,5.20121028744,1.63388804841,3966,39.1658689474
11,19,James Anderson,12.0213468869,4.71156289708,2.42439644219,3935,37.666258423
34,51,Kent Bazemore,14.0809778457,5.58288770053,2.84186401833,3927,28.842724245
158,254,Tim Hardaway,15.9018404908,2.91717791411,2.00613496933,3912,28.3455490689
349,608,Lance Thomas,10.9866529774,5.04517453799,1.32135523614,3896,48.4737099205
29,46,Will Barton,16.0410094637,6.69085173502,2.83911671924,3804,27.6907694885
344,601,Mirza Teletovic,16.097404335,6.83007760235,1.70511105165,3737,35.6384840075
265,452,Donatas Motiejunas,14.7682368775,7.45195154778,2.02530282638,3715,39.4440118459
334,580,Tony Snell,10.331882481,4.54406964091,1.70402611534,3676,48.3901288377
388,667,Reggie Williams,15.4651353568,4.79409351928,2.92370795734,3657,21.1523024392
238,402,Cartier Martin,13.2032229185,4.97403760072,1.29991047449,3351,40.7194432514
47,71,Bojan Bogdanovic,13.3141633527,4.25084123585,1.3545426736,3269,39.4568991175
216,367,Jeremy Lamb,16.6041731548,5.54967299907,2.46652133292,3211,23.2544249617
377,650,Sonny Weems,13.06841612,4.35238987816,2.80037488285,3201,31.1388318
88,135,Robert Covington,16.5377833753,6.5516372796,1.89294710327,3176,32.1474156473
296,516,Otto Porter,12.2533290029,5.89282234492,1.82396882105,3079,42.187298513
22,37,Luke Babbitt,11.8411647915,6.12309728657,1.35804103243,3022,47.1565737503
371,639,Henry Walker,12.8793103448,4.78647214854,1.82625994695,3016,37.8488917669
176,284,Solomon Hill,10.6666666667,5.1498470948,2.69113149847,2943,42.9143216581
169,275,Xavier Henry,13.0120481928,4.34974182444,1.48709122203,2905,39.4879175191
58,83,MarShon Brooks,15.7844228095,4.48122392211,2.90403337969,2876,19.6862221247
132,213,Langston Galloway,12.3722241805,4.97426859358,3.52767007402,2837,32.3769962842
210,355,Ryan Kelly,11.652360515,5.65236051502,2.58798283262,2796,40.0016290716
329,571,Marcus Smart,11.3274725275,4.77362637363,4.08791208791,2730,36.447805652
149,237,Jerami Grant,11.7676842889,5.83023082651,2.15785554728,2686,41.9995218056
103,163,Yakhouba Diawara,9.02065799541,3.55317521041,1.68018362663,2614,54.1758853532
326,567,Chris Singleton,8.4575815739,6.52284069098,1.27140115163,2605,61.3300736355
342,597,Jeff Taylor,11.3219017927,3.68978955573,1.50116913484,2566,45.7398356278
